mdm_id,lud
17327284,2020-03-27T08:50:53.890Z
17327282,2020-03-27T08:50:47.204Z
17327281,2020-03-27T08:51:03.767Z
17327291,2020-03-27T08:50:14.597Z
17327289,2020-03-27T08:50:42.012Z
17327283,2020-03-27T08:51:20.192Z
17327304,2020-03-25T04:46:09.371Z
17327311,2020-03-25T13:25:27.433Z
17327298,2020-03-27T08:52:22.839Z
17327306,2020-03-27T08:51:55.998Z
17327307,2020-03-27T08:45:16.987Z
17327305,2020-03-27T08:51:22.689Z
17327322,2020-03-25T10:31:05.149Z
17327320,2020-03-25T06:34:31.073Z
17327332,2020-03-25T05:43:52.486Z
17327312,2020-03-27T08:49:13.045Z
17327369,2020-03-27T08:51:05.101Z
17327359,2020-03-25T06:07:25.727Z
17327361,2020-03-27T08:49:09.882Z
17327357,2020-03-27T08:51:22.689Z
17327375,2020-03-27T08:52:24.370Z
17327349,2020-03-25T09:37:16.906Z
17327362,2020-03-25T02:41:50.528Z
17327352,2020-03-25T10:28:09.779Z
17327365,2020-03-25T02:57:46.293Z
17327355,2020-03-27T08:51:22.689Z
17327417,2020-03-27T08:51:05.101Z
17327414,2020-03-27T08:50:45.336Z
17327420,2020-03-27T08:51:55.998Z
17327403,2020-03-27T08:50:51.851Z
17327397,2020-03-27T08:49:14.862Z
17327388,2020-03-27T08:49:14.862Z
17327410,2020-03-25T06:52:19.022Z
17327387,2020-03-27T08:51:05.101Z
17327398,2020-03-27T08:49:09.882Z
17327381,2020-03-27T08:49:14.862Z
17327409,2020-03-27T08:51:22.689Z
17327393,2020-03-27T08:51:20.192Z
17327407,2020-03-27T08:45:16.987Z
17327386,2020-03-27T08:49:09.882Z
17327380,2020-03-25T03:58:26.280Z
17327408,2020-03-25T09:10:31.899Z
17327384,2020-03-25T13:53:11.555Z
17327431,2020-03-25T12:15:39.871Z
17327434,2020-03-27T08:52:24.370Z
17327435,2020-03-27T08:50:16.425Z
17327439,2020-03-27T08:52:24.370Z
17327433,2020-03-27T08:49:14.862Z
17327432,2020-03-27T08:49:14.862Z
17327437,2020-03-27T08:52:00.109Z
17327441,2020-03-25T07:15:10.059Z
17327444,2020-03-25T04:02:00.799Z
17327451,2020-03-25T05:05:27.216Z
17327452,2020-03-25T01:29:43.246Z
17327443,2020-03-25T13:49:28.470Z
17327449,2020-03-25T11:30:30.342Z
17327461,2020-03-27T08:49:13.045Z
17327479,2020-03-27T08:50:51.851Z
17327485,2020-03-27T08:52:24.370Z
17327459,2020-03-27T08:51:22.689Z
17327463,2020-03-25T01:07:56.470Z
17327484,2020-03-27T08:50:51.851Z
17327468,2020-03-27T08:50:14.597Z
17327464,2020-03-27T08:51:05.101Z
17327466,2020-03-25T13:22:45.890Z
17327477,2020-03-27T07:57:52.341Z
17327481,2020-03-27T08:51:22.689Z
17327473,2020-03-27T08:51:20.192Z
17330353,2020-03-25T06:11:39.395Z
17330357,2020-03-25T06:55:52.821Z
17330367,2020-03-25T08:42:37.451Z
17330366,2020-03-25T10:35:09.581Z
17330385,2020-03-25T08:50:02.361Z
17330392,2020-03-25T11:55:41.404Z
17330397,2020-03-25T02:49:15.633Z
17330393,2020-03-25T07:40:59.607Z
17330395,2020-03-24T21:41:04.309Z
17330409,2020-03-25T07:16:34.315Z
17330413,2020-03-25T10:52:14.758Z
17330416,2020-03-25T01:49:54.021Z
17330431,2020-03-25T06:34:58.229Z
17330434,2020-03-25T00:19:47.069Z
17330444,2020-03-25T09:10:31.899Z
17330441,2020-03-24T23:27:36.692Z
17330445,2020-03-25T12:00:01.308Z
17330443,2020-03-25T13:31:13.373Z
17330449,2020-03-25T01:15:41.770Z
17330462,2020-03-25T02:36:15.832Z
17330459,2020-03-25T06:38:10.539Z
17330463,2020-03-25T09:54:05.517Z
17330460,2020-03-25T03:14:47.166Z
17330481,2020-03-24T22:06:04.810Z
17330468,2020-04-02T07:52:11.856Z
17330469,2020-03-25T11:52:14.450Z
